Location,Date,Set Type,Song Order,Song
Rivera Cancun,1/16/2020,First Set,1,Not Fade Away
Rivera Cancun,1/16/2020,First Set,2,Hell in a Bucket
Rivera Cancun,1/16/2020,First Set,3,Row Jimmy
Rivera Cancun,1/16/2020,First Set,4,Peggy-O
Rivera Cancun,1/16/2020,First Set,5,Brown Eyed Women
Rivera Cancun,1/16/2020,First Set,6,Ramble On Rose
Rivera Cancun,1/16/2020,First Set,7,Bird Song
Rivera Cancun,1/16/2020,First Set,8,Let it Grow
Rivera Cancun,1/16/2020,Second Set,9,Deal
Rivera Cancun,1/16/2020,Second Set,10,Dark Star
Rivera Cancun,1/16/2020,Second Set,11,Estimated Prophet
Rivera Cancun,1/16/2020,Second Set,12,Eyes of the World
Rivera Cancun,1/16/2020,Second Set,13,Drums
Rivera Cancun,1/16/2020,Second Set,14,Space
Rivera Cancun,1/16/2020,Second Set,15,The Wheel
Rivera Cancun,1/16/2020,Second Set,16,Standing on the Moon
Rivera Cancun,1/16/2020,Second Set,17,Casey Jones
Rivera Cancun,1/16/2020,Encore,18,The Weight
Rivera Cancun,1/18/2020,First Set,1,Bertha
Rivera Cancun,1/18/2020,First Set,2,Good Lovin
Rivera Cancun,1/18/2020,First Set,3,Shakedown Street
Rivera Cancun,1/18/2020,First Set,4,High Time
Rivera Cancun,1/18/2020,First Set,5,Cold Rain and Snow
Rivera Cancun,1/18/2020,First Set,6,Black Throated Wind
Rivera Cancun,1/18/2020,First Set,7,Sugaree
Rivera Cancun,1/18/2020,First Set,8,Quinn the Eskimo
Rivera Cancun,1/18/2020,Second Set,9,Help on the Way
Rivera Cancun,1/18/2020,Second Set,10,Slipknot
Rivera Cancun,1/18/2020,Second Set,11,St. Stephen
Rivera Cancun,1/18/2020,Second Set,12,William Tell Bridge
Rivera Cancun,1/18/2020,Second Set,13,The Eleven
Rivera Cancun,1/18/2020,Second Set,14,Drums
Rivera Cancun,1/18/2020,Second Set,15,Space
Rivera Cancun,1/18/2020,Second Set,16,Spanish Jam
Rivera Cancun,1/18/2020,Second Set,17,New Speedway Boogie
Rivera Cancun,1/18/2020,Second Set,18,Stella Blue
Rivera Cancun,1/18/2020,Second Set,19,Franklin's Tower
Rivera Cancun,1/18/2020,Encore,20,One More Saturday Night
Rivera Cancun,1/19/2020,First Set,1,Playin in the Band
Rivera Cancun,1/19/2020,First Set,2,Uncle John's Band
Rivera Cancun,1/19/2020,First Set,3,Dark Star (Second Verse)
Rivera Cancun,1/19/2020,First Set,4,Playing Reprise
Rivera Cancun,1/19/2020,First Set,5,They Love Each Other
Rivera Cancun,1/19/2020,First Set,6,Me and My Uncle
Rivera Cancun,1/19/2020,First Set,7,Samson & Delilah
Rivera Cancun,1/19/2020,First Set,8,Terrapin Station
Rivera Cancun,1/19/2020,Second Set,9,Scarlet Begonias
Rivera Cancun,1/19/2020,Second Set,10,Fire on the Mountain
Rivera Cancun,1/19/2020,Second Set,11,He's Gone
Rivera Cancun,1/19/2020,Second Set,12,China Cat Sunflower
Rivera Cancun,1/19/2020,Second Set,13,I Know You Rider
Rivera Cancun,1/19/2020,Second Set,14,Drums
Rivera Cancun,1/19/2020,Second Set,15,Space
Rivera Cancun,1/19/2020,Second Set,16,Althea
Rivera Cancun,1/19/2020,Second Set,17,Days Between
Rivera Cancun,1/19/2020,Second Set,18,US Blues
Rivera Cancun,1/19/2020,Encore,19,Ripple
Rivera Cancun,1/19/2020,Encore,20,Not Fade Away Reprise
