Location,Date,Set Type,Song Order,Song
"San Francisco, CA",11/9/2017,First Set,1,Playin in the Band
"San Francisco, CA",11/9/2017,First Set,2,Deal
"San Francisco, CA",11/9/2017,First Set,3,Scarlet Begonias
"San Francisco, CA",11/9/2017,First Set,4,Fire on the Mountain
"San Francisco, CA",11/9/2017,First Set,5,Not Fade Away
"San Francisco, CA",11/9/2017,First Set,6,Touch of Grey
"New York, NY",11/12/2017,First Set,1,Shakedown Street
"New York, NY",11/12/2017,First Set,2,Greatest Story Ever Told
"New York, NY",11/12/2017,First Set,3,Bertha
"New York, NY",11/12/2017,First Set,4,Cassidy
"New York, NY",11/12/2017,First Set,5,Beat it on down the line
"New York, NY",11/12/2017,First Set,6,They Love Each Other
"New York, NY",11/12/2017,First Set,7,Cumberland Blues
"New York, NY",11/12/2017,Second Set,8,China Cat Sunflower
"New York, NY",11/12/2017,Second Set,9,I Know You Rider
"New York, NY",11/12/2017,Second Set,10,Ship of Fools
"New York, NY",11/12/2017,Second Set,11,Terrapin Station
"New York, NY",11/12/2017,Second Set,12,Drums
"New York, NY",11/12/2017,Second Set,13,Space
"New York, NY",11/12/2017,Second Set,14,Standing on the Moon
"New York, NY",11/12/2017,Second Set,15,Other One
"New York, NY",11/12/2017,Second Set,16,Casey Jones
"New York, NY",11/12/2017,Encore,17,Samson & Delilah
"New York, NY",11/12/2017,Encore,18,Werewolves of London
"New York, NY",11/14/2017,First Set,1,Hell in a Bucket
"New York, NY",11/14/2017,First Set,2,Cold Rain and Snow
"New York, NY",11/14/2017,First Set,3,Me and My Uncle
"New York, NY",11/14/2017,First Set,4,Brown Eyed Women
"New York, NY",11/14/2017,First Set,5,Tennessee Jed
"New York, NY",11/14/2017,First Set,6,Bird Song
"New York, NY",11/14/2017,First Set,7,"Man Smart, Women Smarter"
"New York, NY",11/14/2017,Second Set,8,Help on the Way
"New York, NY",11/14/2017,Second Set,9,Slipknot
"New York, NY",11/14/2017,Second Set,10,Franklin's Tower
"New York, NY",11/14/2017,Second Set,11,China Doll
"New York, NY",11/14/2017,Second Set,12,Estimated Prophet
"New York, NY",11/14/2017,Second Set,13,Drums
"New York, NY",11/14/2017,Second Set,14,Space
"New York, NY",11/14/2017,Second Set,15,A Love Supreme
"New York, NY",11/14/2017,Second Set,16,Stella Blue
"New York, NY",11/14/2017,Second Set,17,St. Stephen
"New York, NY",11/14/2017,Second Set,18,Not Fade Away
"New York, NY",11/14/2017,Encore,19,US Blues
"Philadelphia, PA",11/16/2017,First Set,1,Dancing in the Streets
"Philadelphia, PA",11/16/2017,First Set,2,Ramble On Rose
"Philadelphia, PA",11/16/2017,First Set,3,Row Jimmy
"Philadelphia, PA",11/16/2017,First Set,4,Friend of the Devil
"Philadelphia, PA",11/16/2017,First Set,5,Minglewood Blues
"Philadelphia, PA",11/16/2017,First Set,6,West LA Fadeaway
"Philadelphia, PA",11/16/2017,First Set,7,Let it Grow
"Philadelphia, PA",11/16/2017,Second Set,8,Dark Star
"Philadelphia, PA",11/16/2017,Second Set,9,Truckin
"Philadelphia, PA",11/16/2017,Second Set,10,Smokestack Lightning
"Philadelphia, PA",11/16/2017,Second Set,11,Deal
"Philadelphia, PA",11/16/2017,Second Set,12,Eyes of the World
"Philadelphia, PA",11/16/2017,Second Set,13,Drums
"Philadelphia, PA",11/16/2017,Second Set,14,Space
"Philadelphia, PA",11/16/2017,Second Set,15,Dear Prudence
"Philadelphia, PA",11/16/2017,Second Set,16,Uncle John's Band
"Philadelphia, PA",11/16/2017,Second Set,17,GDTRFB
"Philadelphia, PA",11/16/2017,Encore,18,Black Muddy River
"Boston, MA",11/17/2017,First Set,1,Jack Straw
"Boston, MA",11/17/2017,First Set,2,New Speedway Boogie
"Boston, MA",11/17/2017,First Set,3,Althea
"Boston, MA",11/17/2017,First Set,4,Mississippi Half Step
"Boston, MA",11/17/2017,First Set,5,Big River
"Boston, MA",11/17/2017,First Set,6,Sugaree
"Boston, MA",11/17/2017,First Set,7,Music Never Stopped
"Boston, MA",11/17/2017,Second Set,8,Scarlet Begonias
"Boston, MA",11/17/2017,Second Set,9,Fire on the Mountain
"Boston, MA",11/17/2017,Second Set,10,He's Gone
"Boston, MA",11/17/2017,Second Set,11,Viola Lee Blues
"Boston, MA",11/17/2017,Second Set,12,Drums
"Boston, MA",11/17/2017,Second Set,13,Space
"Boston, MA",11/17/2017,Second Set,14,Milestones
"Boston, MA",11/17/2017,Second Set,15,Wharf Rat
"Boston, MA",11/17/2017,Second Set,16,The Wheel
"Boston, MA",11/17/2017,Second Set,17,Sugar Magnolia
"Boston, MA",11/17/2017,Encore,18,Ripple
"Boston, MA",11/19/2017,First Set,1,Samson & Delilah
"Boston, MA",11/19/2017,First Set,2,Dire Wolf
"Boston, MA",11/19/2017,First Set,3,Cold Rain and Snow
"Boston, MA",11/19/2017,First Set,4,Loser
"Boston, MA",11/19/2017,First Set,5,Corrina
"Boston, MA",11/19/2017,First Set,6,Here Comes Sunshine
"Boston, MA",11/19/2017,First Set,7,Greatest Story Ever Told
"Boston, MA",11/19/2017,Second Set,8,China Cat Sunflower
"Boston, MA",11/19/2017,Second Set,9,I Know You Rider
"Boston, MA",11/19/2017,Second Set,10,Comes a Time
"Boston, MA",11/19/2017,Second Set,11,Playin in the Band
"Boston, MA",11/19/2017,Second Set,12,Drums
"Boston, MA",11/19/2017,Second Set,13,Space
"Boston, MA",11/19/2017,Second Set,14,Morning Dew
"Boston, MA",11/19/2017,Second Set,15,I Need A Miracle
"Boston, MA",11/19/2017,Second Set,16,Casey Jones
"Boston, MA",11/19/2017,Encore,17,Brokedown Palace
"Boston, MA",11/19/2017,Encore,18,Playing Reprise
"Washington, D. C.",11/21/2017,First Set,1,Feel Like a Stranger
"Washington, D. C.",11/21/2017,First Set,2,Bertha
"Washington, D. C.",11/21/2017,First Set,3,Black Throated Wind
"Washington, D. C.",11/21/2017,First Set,4,Tennessee Jed
"Washington, D. C.",11/21/2017,First Set,5,Ship of Fools
"Washington, D. C.",11/21/2017,First Set,6,Cassidy
